STATION_NAME,ADDRESS,CITY,ACCESS,LEVEL_1_COUNT,LEVEL_2_COUNT,DC_FAST_ COUNT,EV OTHER INFO,LATITUDE,LONGITUDE
BMW OF DARIEN,138-142 Ledge Rd,Darien,24 hours daily,NONE,2,NONE,NONE,41.072882,-73.4764687
Dunkin’ - Tesla Supercharger,893 E Main St,Meriden,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,41.527367,-72.773473
Town of Beacon Falls - Commuter Lot,105 N Main St,Beacon Falls,24 hours daily,NONE,1,NONE,NONE,41.445481,-73.065583
OLD SAYBROOK VW,319 Middlesex Turnpike,Old Saybrook,24 hours daily,NONE,2,NONE,NONE,41.3102778,-72.3825
Fairfield Rail Station,80 Mill Plain Rd,Fairfield,24 hours daily,NONE,2,NONE,NONE,41.143125,-73.264511
FOUNDRY66,50 Franklin St,Norwich,24 hours daily,NONE,2,NONE,NONE,41.525611,-72.0741188
Corbins Corner Shopping Center - Tesla Supercharger,1445 New Britain Ave.,West Hartford,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,41.722672,-72.759717
GLASTONBURYEV,2327-2333 Main St,Glastonbury,24 hours daily,NONE,2,NONE,NONE,41.711717,-72.6086744
Whole Foods Market,150 Ledge Rd,Darien,8am-10pm daily; for customer use only,4,NONE,NONE,NONE,41.072919,-73.476189
Mystic Marriott Hotel and Spa,625 North Rd,Groton,24 hours daily; guest use only; see front desk for access,NONE,1,NONE,NONE,41.365973,-72.026147
Brass Mill Center - Shoppers World,495 Union St,Waterbury,6am-12am daily,NONE,2,NONE,NONE,41.550922,-73.025659
University of Connecticut Health - Center Garage,263 Farmington Ave,Farmington,24 hours daily,NONE,4,NONE,NONE,41.730405,-72.790618
D'Addario Nissan,329 Bridgeport Ave,Shelton,Dealership business hours,NONE,1,1,NONE,41.299792,-73.106051
CT RAIL,198 N Cherry St,Wallingford,24 hours daily,NONE,2,NONE,NONE,41.4618954,-72.8231924
Hampton Inn & Suites Rocky Hill - Hartford South - Tesla Destination,685 Cromwell Ave,Rocky Hill,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NONE,41.650999,-72.679679
Goodwives Shopping Center,25 Old Kings Hwy,Darien,24 hours daily,NONE,NONE,1,NONE,41.078282,-73.466318
City of New Haven - Union Station Garage,50 Union Ave,New Haven,24 hours daily; pay lot,NONE,3,NONE,NONE,41.297487,-72.926722
Easton Public Library,691 Morehouse Rd,Easton,24 hours daily,NONE,2,NONE,NONE,41.251966,-73.297822
The Plaza at Buckland Hills - Tesla Supercharger,1470 Pleasant Valley Road,Manchester,24 hours daily; for Tesla use only,NONE,NONE,16,NONE,41.80452,-72.562282
Greenlots - 92367,204 Stillman Hill Rd,Colebrook,24 hours daily,NONE,2,NONE,NONE,41.988528,-73.138786
Mystic Diner Restaurant - Tesla Destination,253 Greenmanville  Ave,Mystic,24 hours daily; for customer use only,NONE,1,NONE,NONE,41.373562,-71.961361
Connecticut Airport Authority - Bradley Airport,Cell Phone Lot,Windsor Locks,24 hours daily,NONE,4,NONE,NONE,41.929342,-72.670609
University of Connecticut - Motor Pool,9 Discovery Dr,Storrs,8am-3pm M-F,NONE,1,NONE,NONE,41.811817,-72.261825
Hammonasset Beach State Park - South,1288 Boston Post Rd,Madison,24 hours daily,NONE,4,NONE,NONE,41.263416,-72.560456
Schaller Mitsubishi,25 Veterans Dr,New Britain,Dealership business hours,NONE,1,NONE,NONE,41.649365,-72.770648
Mansfield Public Library,54 Warrenville Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,41.768396,-72.195701
WESTLODGE,811 Burr Mountain Rd,Torrington,24 hours daily,NONE,2,NONE,NONE,41.8750604,-73.1049768
TOWNHALL,100 Bentley Dr,Harwinton,24 hours daily,NONE,2,NONE,NONE,41.7640244,-73.070231
University of Connecticut - Avery Point,1084 Shennecossett Rd,Groton,24 hours daily,NONE,2,NONE,NONE,41.317722,-72.065994
Middletown School District - Lawrence Elementary School,Kaplan Dr,Middletown,24 hours daily,NONE,2,NONE,NONE,41.5871612,-72.6824246
Fairfield Mitsubishi,421 Tunxis Hill Rd,Fairfield,Dealership business hours,NONE,1,NONE,NONE,41.176442,-73.230597
Gates Nissan,143 Boston Post Rd,North Windham,Dealership business hours,NONE,1,NONE,NONE,41.728247,-72.188445
Water's Edge Resort and Spa - Tesla Destination,1525 Boston Post Rd,Westbrook,24 hours daily,NONE,3,NONE,NONE,41.28006,-72.43786
North Haven PaviIion,100 Universal Dr,North Haven,24 hours daily,NONE,NONE,6,NONE,41.353572,-72.870574
UNION STATION,Union Ave and Union Station,New Haven,24 hours daily,NONE,10,NONE,NONE,41.2975353,-72.9270748
Torrington Town Hall,140 Main St,Torrington,24 hours daily,NONE,1,NONE,NONE,41.803497,-73.121223
Crowley Nissan,1451 Farmington Ave,Bristol,Dealership business hours,NONE,2,1,NONE,41.699374,-72.894672
Parthenon Diner Restaurant - Tesla Destination,374 E Main St,Branford,24 hours daily; for customer use only,NONE,1,NONE,NONE,41.296212,-72.781436
Town of Mansfield - Community Center,10 S Eagleville Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,41.800421,-72.242231
Manchester City Nissan,30 Tolland Turnpike,Manchester,Dealership business hours,NONE,2,NONE,NONE,41.814316,-72.507845
City of Meriden - City Hall,142 E Main St,Meriden,24 hours daily,NONE,4,NONE,NONE,41.536236,-72.797226
City of New Haven - Sherman Tyler Lot,60 N Frontage Rd,New Haven,24 hours daily; permit lot,NONE,2,NONE,NONE,41.306474,-72.948514
City of Meriden - Meriden Public Library,105 Miller St,Meriden,24 hours daily,NONE,2,NONE,NONE,41.537218,-72.796702
Blogoslawski Parking Garage,10 Franklin Square,New Britain,24 hours daily,NONE,2,NONE,NONE,41.6643566,-72.7788286
Comfort Inn Guilford - Tesla Destination,300 Boston Post Rd,Guilford,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NONE,41.287164,-72.657682
Brass Mill Center - Entrance 5,495 Union St,Waterbury,6am-12pm daily,NONE,2,NONE,NONE,41.549361,-73.02614
Town of Simsbury - Town Hall,933 Hopmeadow St,Simsbury,24 hours daily,NONE,2,NONE,NONE,41.983904,-72.489406
Connecticut Legislative Parking Garage,240 Capitol Ave,Hartford,7am-7pm M-F,NONE,5,NONE,NONE,41.765434,-72.684758
Middletown School District - Moody School,300 Country Club Rd,Middletown,24 hours daily,NONE,2,NONE,NONE,41.563917,-72.711926
Barberino Nissan,505 N Colony St,Wallingford,Dealership business hours,NONE,1,NONE,NONE,41.467376,-72.817586
CityPlace Garage,185 Asylum St,Hartford,Garage business hours,NONE,2,NONE,NONE,41.766656,-72.676489
CURRAN VOLKSWAG,2774-2788 CT-113,Stratford,24 hours daily,NONE,2,NONE,NONE,41.198568,-73.132624
