fuel_type_code,station_name,street_address,city,state_abbr,zip,status_code,groups_with_access_code,access_days_time,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,latitude,longitude,ev_pricing,county,geoid
ELEC,Arden Fair Mall,1689 Arden Way,Sacramento,CA,95815,E,Public,24 hours daily,,4,,38.599693,-121.427045,,Sacramento,06067
ELEC,Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,E,Public,24 hours daily; pay lot,,12,,34.040539,-118.271387,,Los Angeles,06037
ELEC,California Air Resources Board,9530 Telstar Ave,El Monte,CA,91731,E,Public,24 hours daily,,3,,34.06872,-118.064,Free,Los Angeles,06037
ELEC,Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,E,Public,24 hours daily,,1,,32.89947,-117.243,Pay to Park,San Diego,06073
ELEC,Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,E,Public,6am-12am daily,,4,,33.909914,-117.459053,Free,Riverside,06065
ELEC,City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,E,Public,24 hours daily; pay lot,,16,,34.14762,-118.147111,Free,Los Angeles,06037
ELEC,City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105,E,Public,24 hours daily; pay lot,,2,,34.145138,-118.152655,Free,Los Angeles,06037
ELEC,City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105,E,Public,24 hours daily; pay lot,,3,,34.145119,-118.150133,Free,Los Angeles,06037
ELEC,Pasadena Hilton,150 S Los Robles,Pasadena,CA,91101,E,Public,24 hours daily; for guest use only; valet fee,,4,,34.142973,-118.140553,Free; parking fee,Los Angeles,06037
ELEC,Bristol Farms,606 Fair Oaks Ave,South Pasadena,CA,91030,E,Public,24 hours daily,,,,34.118433,-118.149597,,Los Angeles,06037
ELEC,Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,E,Public,24 hours daily; pay lot; see valet for access,,1,,33.7637,-118.192,Free,Los Angeles,06037
ELEC,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,E,Public,24 hours daily; pay lot,,20,,33.94325,-118.403342,Free,Los Angeles,06037
ELEC,Northride Fashion Center,9301 Tampa Ave,Northridge,CA,91324,E,Public,6am-12am daily,,2,,34.241116,-118.556708,Free,Los Angeles,06037
ELEC,Ontario Airport Hotel and Conference Center,700 N Haven Ave,Ontario,CA,91764,E,Public,24 hours daily; guest use only,,1,,34.07122,-117.575,Free,San Bernardino,06071
ELEC,Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,E,Public,24 hours daily; guest use only,,1,,34.228315,-119.170865,Free,Ventura,06111
ELEC,Hilton - Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262,E,Public,24 hours daily; pay lot; priority given to registered guests,,2,,33.824004,-116.543589,Free,Riverside,06065
ELEC,East Bay Mini,4340 Rosewood Dr,Pleasanton,CA,94588,E,Public,Dealership business hours,,2,,37.700187,-121.876172,Free,Alameda,06001
ELEC,Inland Empire Foods,5425 Wilson St,Riverside,CA,92509,E,Public,8am-4:30pm M-F,,3,,34.0189,-117.38,Free,Riverside,06065
ELEC,Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837,E,Public,24 hours daily; pay lot,,4,,38.69005,-121.58889,$12 parking fee,Sacramento,06067
ELEC,City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,CA,90405,E,Public,24 hours daily,,2,,34.017081,-118.44704,Free,Los Angeles,06037
ELEC,City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,CA,90405,E,Public,24 hours daily; pay lot,,3,,34.010021,-118.49583,Free,Los Angeles,06037
ELEC,Westfield Fashion Square,14006 Riverside Dr,Sherman Oaks,CA,91423,E,Public,6am-12am daily,,4,,34.156839,-118.434454,Free,Los Angeles,06037
ELEC,Universal City Hilton,333 Universal Terrace Pkwy,Universal City,CA,91608,E,Public,24 hours daily; pay lot; see valet for access; Drivers must bring their own J1772 cordset for Level 1 charging,1,,,34.138717,-118.35904,Free,Los Angeles,06037
ELEC,Van Nuys Amtrak/Metrolink Station,7724 Van Nuys Blvd,Van Nuys,CA,91405,E,Public,24 hours daily,,4,,34.21108,-118.448704,Free,Los Angeles,06037
ELEC,Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241,E,Public,24 hours daily,,4,,33.94756,-118.153806,Free,Los Angeles,06037
ELEC,Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133,E,Public,24 hours daily; pay lot; see valet for access,,1,,37.80619,-122.4152,Free,San Mateo,06081
ELEC,Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133,E,Public,24 hours daily; pay lot; see valet for access,,1,,37.80619,-122.4152,Free,San Francisco,06075
