evs,geoid,county,ryear
20,06001,Alameda,2010
362,06001,Alameda,2011
1168,06001,Alameda,2012
3622,06001,Alameda,2013
8304,06001,Alameda,2014
13197,06001,Alameda,2015
18116,06001,Alameda,2016
24758,06001,Alameda,2017
34389,06001,Alameda,2018
42451,06001,Alameda,2019
45785,06001,Alameda,2020
2,06003,Alpine,2013
5,06003,Alpine,2014
3,06003,Alpine,2015
4,06003,Alpine,2016
3,06003,Alpine,2017
4,06003,Alpine,2018
6,06003,Alpine,2019
11,06003,Alpine,2020
1,06005,Amador,2010
6,06005,Amador,2011
8,06005,Amador,2012
9,06005,Amador,2013
21,06005,Amador,2014
44,06005,Amador,2015
58,06005,Amador,2016
92,06005,Amador,2017
128,06005,Amador,2018
175,06005,Amador,2019
226,06005,Amador,2020
8,06007,Butte,2011
28,06007,Butte,2012
69,06007,Butte,2013
134,06007,Butte,2014
178,06007,Butte,2015
245,06007,Butte,2016
395,06007,Butte,2017
588,06007,Butte,2018
796,06007,Butte,2019
982,06007,Butte,2020
4,06009,Calaveras,2011
8,06009,Calaveras,2012
27,06009,Calaveras,2013
40,06009,Calaveras,2014
53,06009,Calaveras,2015
75,06009,Calaveras,2016
115,06009,Calaveras,2017
177,06009,Calaveras,2018
224,06009,Calaveras,2019
276,06009,Calaveras,2020
1,06011,Colusa,2013
4,06011,Colusa,2014
6,06011,Colusa,2015
8,06011,Colusa,2016
12,06011,Colusa,2017
21,06011,Colusa,2018
28,06011,Colusa,2019
45,06011,Colusa,2020
10,06013,Contra Costa,2010
158,06013,Contra Costa,2011
632,06013,Contra Costa,2012
1929,06013,Contra Costa,2013
4233,06013,Contra Costa,2014
6769,06013,Contra Costa,2015
9279,06013,Contra Costa,2016
12882,06013,Contra Costa,2017
18253,06013,Contra Costa,2018
22803,06013,Contra Costa,2019
25938,06013,Contra Costa,2020
3,06015,Del Norte,2012
12,06015,Del Norte,2013
19,06015,Del Norte,2014
26,06015,Del Norte,2015
36,06015,Del Norte,2016
47,06015,Del Norte,2017
64,06015,Del Norte,2018
76,06015,Del Norte,2019
92,06015,Del Norte,2020
21,06017,El Dorado,2011
68,06017,El Dorado,2012
212,06017,El Dorado,2013
460,06017,El Dorado,2014
679,06017,El Dorado,2015
925,06017,El Dorado,2016
1314,06017,El Dorado,2017
1894,06017,El Dorado,2018
2381,06017,El Dorado,2019
2795,06017,El Dorado,2020
2,06019,Fresno,2010
33,06019,Fresno,2011
76,06019,Fresno,2012
226,06019,Fresno,2013
740,06019,Fresno,2014
1306,06019,Fresno,2015
2054,06019,Fresno,2016
3198,06019,Fresno,2017
4154,06019,Fresno,2018
5015,06019,Fresno,2019
5481,06019,Fresno,2020
2,06021,Glenn,2013
4,06021,Glenn,2014
11,06021,Glenn,2015
19,06021,Glenn,2016
24,06021,Glenn,2017
35,06021,Glenn,2018
53,06021,Glenn,2019
65,06021,Glenn,2020
2,06023,Humboldt,2010
9,06023,Humboldt,2011
21,06023,Humboldt,2012
54,06023,Humboldt,2013
221,06023,Humboldt,2014
455,06023,Humboldt,2015
