evs,county,ryear,vehicle_name
3,Alameda County,2010,Ford Ranger
17,Alameda County,2010,Tesla Roadster
63,Alameda County,2011,Chevrolet Volt
3,Alameda County,2011,Ford Ranger
273,Alameda County,2011,Nissan Leaf
23,Alameda County,2011,Tesla Roadster
21,Alameda County,2012,BMW Active E
318,Alameda County,2012,Chevrolet Volt
4,Alameda County,2012,Fisker Karma
9,Alameda County,2012,Ford Focus EV
3,Alameda County,2012,Ford Ranger
1,Alameda County,2012,Ford Transit Connect Electric
3,Alameda County,2012,Honda Fit EV
11,Alameda County,2012,Mitsubishi i
480,Alameda County,2012,Nissan Leaf
4,Alameda County,2012,Tesla Model S
23,Alameda County,2012,Tesla Roadster
291,Alameda County,2012,Toyota Prius Plug-in
19,Alameda County,2013,BMW Active E
15,Alameda County,2013,Chevrolet Spark
819,Alameda County,2013,Chevrolet Volt
9,Alameda County,2013,Fiat 500e
6,Alameda County,2013,Fisker Karma
102,Alameda County,2013,Ford C-Max Energi
77,Alameda County,2013,Ford Focus EV
62,Alameda County,2013,Ford Fusion Energi
3,Alameda County,2013,Ford Ranger
1,Alameda County,2013,Ford Transit Connect Electric
18,Alameda County,2013,Honda Accord Plug In
24,Alameda County,2013,Honda Fit EV
18,Alameda County,2013,Mitsubishi i
1331,Alameda County,2013,Nissan Leaf
13,Alameda County,2013,Smart forTwo EV
364,Alameda County,2013,Tesla Model S
27,Alameda County,2013,Tesla Roadster
646,Alameda County,2013,Toyota Prius Plug-in
68,Alameda County,2013,Toyota RAV4 EV
6,Alameda County,2014,BMW Active E
23,Alameda County,2014,BMW i3
38,Alameda County,2014,BMW i3 REx
10,Alameda County,2014,Cadillac ELR
84,Alameda County,2014,Chevrolet Spark
1354,Alameda County,2014,Chevrolet Volt
464,Alameda County,2014,Fiat 500e
9,Alameda County,2014,Fisker Karma
326,Alameda County,2014,Ford C-Max Energi
176,Alameda County,2014,Ford Focus EV
319,Alameda County,2014,Ford Fusion Energi
3,Alameda County,2014,Ford Ranger
1,Alameda County,2014,Ford Transit Connect Electric
43,Alameda County,2014,Honda Accord Plug In
38,Alameda County,2014,Honda Fit EV
6,Alameda County,2014,Mercedes B-Class Electric
19,Alameda County,2014,Mitsubishi i
2796,Alameda County,2014,Nissan Leaf
7,Alameda County,2014,Porsche Panamera S E-Hybrid
75,Alameda County,2014,Smart forTwo EV
691,Alameda County,2014,Tesla Model S
26,Alameda County,2014,Tesla Roadster
1641,Alameda County,2014,Toyota Prius Plug-in
149,Alameda County,2014,Toyota RAV4 EV
145,Alameda County,2015,BMW i3
262,Alameda County,2015,BMW i3 REx
11,Alameda County,2015,BMW i8
22,Alameda County,2015,Cadillac ELR
242,Alameda County,2015,Chevrolet Spark
1890,Alameda County,2015,Chevrolet Volt
981,Alameda County,2015,Fiat 500e
13,Alameda County,2015,Fisker Karma
504,Alameda County,2015,Ford C-Max Energi
274,Alameda County,2015,Ford Focus EV
557,Alameda County,2015,Ford Fusion Energi
3,Alameda County,2015,Ford Ranger
55,Alameda County,2015,Honda Accord Plug In
43,Alameda County,2015,Honda Fit EV
87,Alameda County,2015,Kia Soul EV
1,Alameda County,2015,Mclaren P1
175,Alameda County,2015,Mercedes B-Class Electric
25,Alameda County,2015,Mitsubishi i
3984,Alameda County,2015,Nissan Leaf
5,Alameda County,2015,Porsche Cayenne S E-Hybrid
9,Alameda County,2015,Porsche Panamera S E-Hybrid
105,Alameda County,2015,Smart forTwo EV
1264,Alameda County,2015,Tesla Model S
23,Alameda County,2015,Tesla Roadster
2070,Alameda County,2015,Toyota Prius Plug-in
178,Alameda County,2015,Toyota RAV4 EV
269,Alameda County,2015,Volkswagen e-Golf
96,Alameda County,2016,Audi e-tron Sportback
4,Alameda County,2016,BMW 3-Series Plug in
260,Alameda County,2016,BMW i3
541,Alameda County,2016,BMW i3 REx
26,Alameda County,2016,BMW i8
48,Alameda County,2016,BMW X5
26,Alameda County,2016,Cadillac ELR
560,Alameda County,2016,Chevrolet Spark
2679,Alameda County,2016,Chevrolet Volt
1183,Alameda County,2016,Fiat 500e
12,Alameda County,2016,Fisker Karma
634,Alameda County,2016,Ford C-Max Energi
253,Alameda County,2016,Ford Focus EV
831,Alameda County,2016,Ford Fusion Energi
5,Alameda County,2016,Ford Ranger
55,Alameda County,2016,Honda Accord Plug In
43,Alameda County,2016,Honda Fit EV
26,Alameda County,2016,Hyundai Sonata Plug In
147,Alameda County,2016,Kia Soul EV
243,Alameda County,2016,Mercedes B-Class Electric
1,Alameda County,2016,Mercedes GLE 550e Plug In Hybrid
2,Alameda County,2016,Mercedes S550e
29,Alameda County,2016,Mitsubishi i
4588,Alameda County,2016,Nissan Leaf
31,Alameda County,2016,Porsche Cayenne S E-Hybrid
20,Alameda County,2016,Porsche Panamera S E-Hybrid
135,Alameda County,2016,Smart forTwo EV
2250,Alameda County,2016,Tesla Model S
269,Alameda County,2016,Tesla Model X
26,Alameda County,2016,Tesla Roadster
2176,Alameda County,2016,Toyota Prius Plug-in
155,Alameda County,2016,Toyota RAV4 EV
735,Alameda County,2016,Volkswagen e-Golf
27,Alameda County,2016,Volvo XC90 Plug In
279,Alameda County,2017,Audi e-tron Sportback
72,Alameda County,2017,BMW 3-Series Plug in
87,Alameda County,2017,BMW 5-Series Plug in
1,Alameda County,2017,BMW 7-Series Plug in
301,Alameda County,2017,BMW i3
658,Alameda County,2017,BMW i3 REx
33,Alameda County,2017,BMW i8
97,Alameda County,2017,BMW X5
3,Alameda County,2017,Cadillac CT6
29,Alameda County,2017,Cadillac ELR
1256,Alameda County,2017,Chevrolet Bolt EV
540,Alameda County,2017,Chevrolet Spark
3740,Alameda County,2017,Chevrolet Volt
72,Alameda County,2017,Chrysler Pacifica
1032,Alameda County,2017,Fiat 500e
