stations,county,oyear,geoid
1324,Los Angeles,2021,06037
1047,Santa Clara,2021,06085
929,Los Angeles,2020,06037
898,Orange,2021,06059
880,San Mateo,2021,06081
450,San Diego,2021,06073
432,Alameda,2021,06001
375,Orange,2020,06059
356,Los Angeles,2022,06037
300,Santa Clara,2020,06085
244,San Francisco,2021,06075
236,San Diego,2020,06073
235,San Mateo,2020,06081
213,Sacramento,2021,06067
199,Riverside,2021,06065
184,San Bernardino,2021,06071
183,Fresno,2021,06019
182,Alameda,2020,06001
167,Los Angeles,2018,06037
166,San Diego,2022,06073
163,Contra Costa,2021,06013
149,Los Angeles,2019,06037
130,Riverside,2020,06065
125,Orange,2022,06059
88,Contra Costa,2020,06013
85,Marin,2021,06041
79,San Mateo,2022,06081
77,San Bernardino,2020,06071
75,Solano,2021,06095
75,San Francisco,2020,06075
73,Alameda,2022,06001
70,Sonoma,2021,06097
70,Kern,2021,06029
68,Sacramento,2020,06067
65,Placer,2021,06061
65,Santa Clara,2022,06085
61,Sonoma,2020,06097
59,Ventura,2020,06111
58,Ventura,2021,06111
57,Los Angeles,2015,06037
55,Fresno,2020,06019
54,Santa Barbara,2021,06083
52,Marin,2020,06041
49,Los Angeles,2016,06037
47,Sacramento,2022,06067
45,Santa Cruz,2021,06087
43,Monterey,2021,06053
42,Los Angeles,2014,06037
41,Fresno,2022,06019
41,San Luis Obispo,2021,06079
38,Riverside,2022,06065
37,Orange,2019,06059
37,Santa Cruz,2020,06087
36,Los Angeles,2017,06037
35,Santa Clara,2018,06085
35,Riverside,2019,06065
34,Monterey,2020,06053
34,Ventura,2019,06111
33,Santa Clara,2019,06085
33,San Bernardino,2022,06071
33,Napa,2020,06055
33,Yolo,2021,06113
30,Santa Barbara,2020,06083
29,San Francisco,2022,06075
29,Humboldt,2021,06023
29,Santa Clara,2017,06085
28,Napa,2021,06055
28,San Joaquin,2021,06077
28,San Luis Obispo,2020,06079
27,San Diego,2015,06073
27,San Diego,2019,06073
26,San Diego,2016,06073
26,Los Angeles,2013,06037
26,San Mateo,2019,06081
25,Placer,2020,06061
25,San Luis Obispo,2016,06079
24,Kern,2020,06029
24,Placer,2022,06061
23,San Luis Obispo,2015,06079
22,Orange,2018,06059
22,San Joaquin,2020,06077
21,Alameda,2019,06001
21,Riverside,2013,06065
21,Orange,2016,06059
20,San Joaquin,2022,06077
20,Nevada,2021,06057
20,Fresno,2017,06019
19,Alameda,2018,06001
19,Santa Barbara,2022,06083
18,San Diego,2018,06073
18,Napa,2016,06055
17,Fresno,2019,06019
17,San Mateo,2018,06081
17,San Diego,2017,06073
17,Napa,2015,06055
16,San Mateo,2015,06081
16,Riverside,2015,06065
16,Los Angeles,2011,06037
16,Ventura,2022,06111
16,Contra Costa,2019,06013
16,Los Angeles,2012,06037
16,Sonoma,2019,06097
15,Riverside,2018,06065
15,Sonoma,2017,06097
15,San Diego,2012,06073
15,El Dorado,2021,06017
15,Stanislaus,2021,06099
15,Orange,2015,06059
15,Solano,2020,06095
15,Madera,2021,06039
14,Mendocino,2021,06045
14,Orange,2017,06059
14,San Luis Obispo,2018,06079
14,Santa Clara,2016,06085
13,Alameda,2016,06001
