count,geoid,county
192172,06001,Alameda County
38,06003,Alpine County
768,06005,Amador County
3423,06007,Butte County
999,06009,Calaveras County
125,06011,Colusa County
102886,06013,Contra Costa County
375,06015,Del Norte County
10749,06017,El Dorado County
22285,06019,Fresno County
213,06021,Glenn County
6406,06023,Humboldt County
945,06025,Imperial County
243,06027,Inyo County
11954,06029,Kern County
1378,06031,Kings County
1498,06033,Lake County
68,06035,Lassen County
642677,06037,Los Angeles County
2158,06039,Madera County
40179,06041,Marin County
289,06043,Mariposa County
4026,06045,Mendocino County
3194,06047,Merced County
14,06049,Modoc County
191,06051,Mono County
12839,06053,Monterey County
9499,06055,Napa County
3869,06057,Nevada County
303324,06059,Orange County
22561,06061,Placer County
159,06063,Plumas County
81505,06065,Riverside County
58327,06067,Sacramento County
2658,06069,San Benito County
61962,06071,San Bernardino County
197012,06073,San Diego County
62911,06075,San Francisco County
19665,06077,San Joaquin County
14076,06079,San Luis Obispo County
102569,06081,San Mateo County
18988,06083,Santa Barbara County
332645,06085,Santa Clara County
23148,06087,Santa Cruz County
2562,06089,Shasta County
25,06091,Sierra County
391,06093,Siskiyou County
19588,06095,Solano County
43164,06097,Sonoma County
9226,06099,Stanislaus County
1098,06101,Sutter County
477,06103,Tehama County
169,06105,Trinity County
4731,06107,Tulare County
811,06109,Tuolumne County
51418,06111,Ventura County
11367,06113,Yolo County
942,06115,Yuba County
19504,Unknown,Unknown
