count,county
12248,Orange
3193,Los Angeles
1546,Santa Clara
1295,San Mateo
1010,San Diego
765,Alameda
490,Riverside
409,San Francisco
384,Sacramento
351,San Bernardino
329,Fresno
298,Contra Costa
216,Santa Cruz
204,Sonoma
201,Ventura
186,Humboldt
164,Marin
164,San Luis Obispo
147,Santa Barbara
138,Placer
135,Solano
124,Napa
122,Kern
122,Monterey
95,San Joaquin
93,Butte
86,Nevada
84,Yolo
84,Lake
69,El Dorado
63,Mendocino
48,Kings
40,Stanislaus
37,Madera
37,Tulare
26,Merced
22,Shasta
20,Tuolumne
19,Siskiyou
19,Mariposa
13,San Benito
12,Amador
12,Del Norte
11,Tehama
9,Inyo
8,Mono
8,Trinity
7,Colusa
6,Lassen
6,Yuba
6,Imperial
5,Calaveras
4,Alpine
4,Sutter
3,Glenn
3,Modoc
3,Plumas
2,Sierra
